,Lat,Long,Fire
178,16.623064,20.034447,2.9904246
179,16.608603,20.140759,2.8935432
180,16.594252,20.245846,0.597173
181,16.580015,20.34969,1.6186565
182,16.565866,20.452482,1.5736103
183,16.551817,20.554174,0.59841275
184,16.537846,20.654926,0.6046891
185,16.523949,20.754755,2.8755517
186,16.51012,20.853752,4.90824
187,16.496347,20.951977,2.9552877
188,16.482635,21.049438,2.8895469
189,16.468971,21.146214,2.8775275
190,16.455353,21.242344,2.8950543
191,16.441772,21.337872,2.9682875
192,16.428215,21.432901,2.8894634
193,16.414682,21.527454,0.6266624
194,16.401169,21.621574,1.5598625
195,16.387665,21.715307,1.5692204
196,16.374166,21.808708,1.5628666
197,16.360664,21.901821,1.5113711
198,16.347158,21.994675,1.5458703
199,16.333637,22.087341,1.5884787
200,16.32009,22.179874,1.8069446
201,16.306526,22.272245,1.6743749
202,16.292936,22.364529,1.6402841
203,16.279308,22.45679,1.5985608
204,16.265633,22.54907,1.7129838
205,16.251915,22.641346,1.715076
206,16.238146,22.733679,1.7642558
207,16.224304,22.826263,1.7092019
208,16.21039,22.919056,1.6363353
209,16.196396,23.012096,1.6059101
210,16.182314,23.10545,0.62785745
211,16.168144,23.199097,1.6887188
212,16.15387,23.293179,1.6693205
213,16.13949,23.387653,1.6448975
214,16.125002,23.482567,0.6081462
215,16.110392,23.57799,1.7763555
216,16.095648,23.674007,0.597924
217,16.080776,23.770575,1.6295135
218,16.065746,23.867865,0.59933364
219,16.050562,23.965897,2.900496
220,16.035212,24.064678,0.5989939
221,16.019672,24.164402,0.58315396
222,16.003922,24.265165,1.6002119
223,15.987976,24.366894,1.578939
224,15.9718685,24.469313,1.5888005
225,15.955513,24.573013,1.5778393
226,15.938949,24.677702,1.5731215
227,15.922162,24.783476,1.5532106
228,15.905014,24.891218,1.5540123
229,15.887622,25.000143,1.5408844
230,15.870035,25.10991,1.5598983
231,15.852032,25.221966,1.5729696
232,15.833801,25.335037,1.6287088
233,15.8152275,25.449879,1.6590476
234,15.796167,25.56736,1.6513199
235,15.776944,25.68542,1.6663551
236,15.75723,25.806108,1.6158432
237,15.736929,25.930008,1.6189039
238,15.716253,26.05573,1.5787661
239,15.695035,26.184322,1.6011
240,15.673439,26.314709,1.6338646
241,15.651184,26.44862,0.6371647
242,15.628588,26.584038,0.66563785
243,15.605275,26.723265,1.5347958
244,15.581333,26.865698,0.6338
245,15.556617,27.01219,2.881691
246,15.531147,27.162548,0.64712167
247,15.504975,27.316404,1.7399818
248,15.478033,27.474144,1.6207218
249,15.450209,27.636356,1.6815603
250,15.421304,27.804155,0.68698525
251,15.391293,27.977613,1.7769068
252,15.36035,28.155617,1.7276317
253,15.328215,28.339619,1.8335193
254,15.294846,28.52975,0.69419444
255,15.260195,28.726213,1.6733944
256,15.224127,28.929657,1.6416788
257,15.186617,29.140121,1.5764296
258,15.147246,29.359833,1.5590131
259,15.105672,29.590567,0.6297797
260,15.062135,29.830761,0.6836772
261,15.016481,30.08109,0.68210065
262,14.968383,30.343153,0.66637695
263,14.917469,30.618753,1.7460406
264,14.863458,30.90911,1.4520675
265,14.80604,31.215563,5.5676074
266,14.744756,31.5402,5.8405757
267,14.679119,31.88513,8.975756
268,14.608611,32.252586,3.7799926
269,14.532552,32.64547,9.028426
270,17.480482,11.732527,0.61341226
271,17.44097,12.153216,1.6786397
272,17.403343,12.545077,1.659289
273,17.367449,12.911413,1.6548276
274,17.333122,13.255302,1.6547441
275,17.300245,13.579079,1.6486406
276,17.26869,13.8849125,1.6395748
277,17.23835,14.174671,1.6275555
278,17.209145,14.449745,1.6242027
279,17.180943,14.711908,1.6076505
280,17.153717,14.961941,1.6014755
281,17.127363,15.201162,0.59889853
282,17.101807,15.430613,1.6353518
283,17.077026,15.650785,1.6364843
284,17.05294,15.862677,1.637128
285,17.029518,16.066795,1.6401708
286,17.00672,16.263678,1.6370833
287,16.984522,16.453743,0.5410701
288,16.962866,16.637615,0.51062405
289,16.941727,16.81569,0.49788058
290,16.921103,16.988094,1.9270271
291,16.900917,17.155584,2.0228596
292,16.881168,17.31831,2.0457892
293,16.861828,17.476564,2.0268707
294,16.842873,17.630634,0.5431771
295,16.82428,17.780811,0.51769316
296,16.80603,17.927279,0.5297333
297,16.788105,18.070297,0.5641818
298,16.770494,18.209974,0.6091356
299,16.75317,18.346607,0.6074965
300,16.736088,18.480566,1.6144425
301,16.719294,18.611578,1.6051352
302,16.702747,18.739964,1.6086876
303,16.68644,18.865864,1.7512739
304,16.670351,18.989452,1.7081022
305,16.654465,19.110886,1.8257022
306,16.638771,19.230291,1.6003162
307,16.62328,19.34761,1.6321331
308,16.607958,19.463093,1.6173035
309,16.592806,19.576815,1.6032457
310,16.577812,19.688837,1.6022146
311,16.562963,19.799301,0.6115794
312,16.548256,19.908264,0.6341666
313,16.533674,20.015854,2.9343307
314,16.519215,20.122107,2.9252024
315,16.504868,20.227114,0.63716173
316,16.490631,20.330912,1.6088843
317,16.476486,20.433628,1.57983
318,16.462435,20.535297,1.5742689
319,16.448467,20.635984,0.5881667
320,16.434576,20.73573,0.6586343
321,16.42075,20.834682,4.90824
322,16.406988,20.932796,4.90824
323,16.393278,21.030205,2.9163957
324,16.379616,21.12694,2.8558106
325,16.365993,21.223068,2.8618007
326,16.352413,21.318573,4.90824
327,16.338856,21.413597,2.8373778
328,16.325327,21.508081,0.5931586
329,16.311817,21.602154,1.537323
330,16.298317,21.695843,1.5327513
331,16.284826,21.789173,1.5397489
332,16.271332,21.882233,1.649189
333,16.257824,21.97508,1.6371667
334,16.244307,22.0677,0.63167214
335,16.23077,22.160175,0.6097585
336,16.217213,22.2525,1.5891552
337,16.203625,22.344765,1.5766233
338,16.189995,22.437004,1.5565306
339,16.176327,22.529242,0.6349176
340,16.162611,22.621498,1.6580075
341,16.14884,22.713875,1.6442686
342,16.135012,22.806358,1.7432183
343,16.121107,22.89908,0.60250163
344,16.107124,22.992031,1.639238
345,16.093054,23.085323,0.6038368
346,16.078886,23.178974,0.66170394
347,16.064625,23.272972,1.6652972
348,16.050251,23.367418,0.60911775
349,16.035778,23.462227,1.7075539
350,16.021175,23.557634,0.66378117
351,16.006447,23.65357,1.6945183
352,15.991574,23.750141,1.6616136
353,15.976552,23.847424,0.58408976
354,15.961384,23.945349,0.5940139
355,15.946035,24.04415,0.5954981
356,15.930473,24.144056,1.625666
357,15.914749,24.244675,1.5949786
358,15.898823,24.346296,1.5921086
359,15.882716,24.448751,1.5650272
360,15.866423,24.552065,1.5805572
361,15.849873,24.656713,1.562959
362,15.833065,24.762651,1.5933692
363,15.815959,24.870155,1.5900731
364,15.7985525,24.979225,1.5440375
365,15.780931,25.089268,1.5585959
366,15.762974,25.20107,1.528421
367,15.744796,25.313858,1.5465647
368,15.726252,25.428558,1.6730458
369,15.707353,25.545076,1.5786558
370,15.688025,25.663857,1.6024679
371,15.668297,25.7847,1.5611261
372,15.648006,25.9086,1.6587794
373,15.627341,26.034332,0.6359756
374,15.606139,26.162899,0.6396055
375,15.584484,26.293737,0.63172877
376,15.562345,26.427006,0.6350368
377,15.539694,26.562862,0.6515384
378,15.516544,26.701164,1.546967
379,15.492553,26.844002,0.62527955
380,15.467865,26.990414,2.8925748
381,15.442403,27.140831,0.6306231
382,15.416267,27.294598,1.6037583
383,15.389384,27.452099,1.5537649
384,15.361451,27.615082,1.6051441
385,15.332552,27.782988,0.6755084
386,15.302701,27.955639,0.6933063
387,15.271801,28.133533,1.7084181
388,15.239679,28.317616,1.8131793
389,15.206349,28.507706,1.8633991
390,15.171735,28.704136,1.7112404
391,15.135682,28.907684,1.706177
392,15.098147,29.118488,1.5912712
393,15.058869,29.337894,1.5177399
394,15.017448,29.567993,0.64139664
395,14.973943,29.80827,2.8578787
396,14.928355,30.058502,0.68131685
397,14.880241,30.320951,0.68328977
398,14.829439,30.596247,1.5692145
399,14.775453,30.886814,1.5548259
400,14.718121,31.193176,5.9362144
401,14.656918,31.517773,3.7826538
402,14.591415,31.86244,0.6867498
403,14.521015,32.229813,2.7475743
404,14.445065,32.622665,9.191126
405,17.392242,11.716665,0.6058544
406,17.352646,12.137085,0.6047934
407,17.31493,12.528859,1.6620159
408,17.278954,12.895145,1.6598225
409,17.244566,13.238852,1.6535878
410,17.211628,13.562515,1.6471863
411,17.180025,13.868188,1.6344488
412,17.149649,14.157716,1.6163439
413,17.120394,14.432734,1.6196191
414,17.092152,14.694801,1.6029507
415,17.064877,14.944849,1.6142428
416,17.038494,15.183935,0.5926013
417,17.012922,15.413175,1.6297847
418,16.988113,15.633266,1.6406924
419,16.964006,15.845042,1.6371816
420,16.94056,16.049084,1.6268849
421,16.917747,16.245827,1.6246647
422,16.895527,16.435844,1.6260684
423,16.87386,16.6196,0.54041445
424,16.852713,16.797523,0.52469075
425,16.832054,16.970016,1.8223524
426,16.811865,17.13737,2.0268917
427,16.792095,17.300085,2.0341663
428,16.772747,17.458256,1.9924849
429,16.753775,17.612322,0.5542904
430,16.735167,17.762478,0.5705714
431,16.716898,17.908976,0.57456493
432,16.698944,18.05209,0.54641664
433,16.681335,18.191635,0.6037086
434,16.66398,18.328402,1.6622573
435,16.646912,18.46218,1.6050369
436,16.630112,18.593119,1.6083211
437,16.613564,18.721447,1.6090274
438,16.597254,18.847279,1.766473
439,16.58116,18.970829,1.8498182
440,16.565254,19.09233,1.807329
441,16.549572,19.211573,1.6682863
442,16.53409,19.328754,1.6091257
443,16.518772,19.44416,1.6151994
444,16.503626,19.557774,1.6297579
445,16.488634,19.669727,1.5946299
446,16.473791,19.780106,1.58993
447,16.459087,19.889011,0.5995095
448,16.44451,19.996513,2.9032617
449,16.43005,20.10273,2.8510065
450,16.415703,20.2077,0.61529875
451,16.401464,20.311468,1.5944451
452,16.387321,20.414137,1.5766054
453,16.373274,20.51575,1.6140163
454,16.359306,20.616417,0.6020248
455,16.34541,20.716179,2.8253703
456,16.331583,20.815096,2.9494226
457,16.317822,20.913204,2.9125304
458,16.304111,21.010582,2.9241323
459,16.290451,21.107288,2.9388638
460,16.276834,21.203348,2.8904498
461,16.26326,21.298815,2.8432755
462,16.249706,21.393787,0.6248981
463,16.236183,21.48825,0.5773157
464,16.222677,21.582277,1.5185833
465,16.20918,21.675938,1.4997691
466,16.195686,21.769264,1.5233129
467,16.182196,21.8623,1.602307
468,16.168697,21.955086,1.6162843
469,16.155191,22.04763,1.6887188
470,16.141663,22.140038,0.597322
471,16.128115,22.232307,1.630485
472,16.114536,22.324505,1.627627
473,16.100918,22.416677,1.638484
474,16.087257,22.50886,1.5931726
475,16.073553,22.601051,1.5959203
476,16.059788,22.693413,1.5739679
477,16.045956,22.785927,1.6374528
478,16.032057,22.878626,1.734829
479,16.018085,22.97153,1.7429024
480,16.004023,23.06477,0.60373545
481,15.989862,23.15839,0.6360322
482,15.975612,23.252317,1.7586797
483,15.961243,23.34676,1.6380221
484,15.946772,23.441587,1.6029179
485,15.932177,23.53695,1.6534597
486,15.917461,23.632818,1.6639352
487,15.9025955,23.72939,1.5918434
488,15.88759,23.82658,1.6049862
489,15.872413,23.924603,1.6325682
490,15.857075,24.023376,1.6527832
491,15.841574,24.12289,1.602146
492,15.825844,24.223602,1.6095638
493,15.809935,24.325146,1.6480953
494,15.793831,24.427614,1.5776724
495,15.777517,24.531113,1.5929252
496,15.761014,24.635483,1.583308
497,15.744191,24.74158,1.5672505
498,15.727192,24.848434,1.5910625
499,15.709785,24.957558,1.5696526
500,15.692146,25.06778,1.5432537
501,15.674262,25.179165,1.537478
502,15.656033,25.292341,1.6496122
503,15.63748,25.407162,0.63883364
504,15.61867,25.523178,0.63910484
505,15.599368,25.64187,0.63757
506,15.579649,25.762733,1.6051829
507,15.559273,25.887245,0.6225914
508,15.538612,26.013031,0.6355852
509,15.51749,26.141178,2.7961612
510,15.495922,26.271564,2.830443
511,15.473869,26.404394,0.64638555
512,15.451485,26.538694,1.5774518
513,15.428308,26.677286,0.6331384
514,15.404092,26.821611,0.64131916
515,15.379546,26.967278,2.842906
516,15.353987,27.118408,0.6507546
517,15.327915,27.271914,1.6176134
518,15.301091,27.429193,1.5587538
519,15.273108,27.592623,1.664868
520,15.244404,27.759506,1.6481668
521,15.214501,27.932623,0.704968
522,15.183674,28.110273,0.6523937
523,15.151563,28.294466,0.6664902
524,15.118275,28.48449,1.8242359
525,15.0837,28.680895,1.682812
526,15.047701,28.88435,1.7932028
527,15.010138,29.09554,1.6190618
528,14.970889,29.31501,1.5042573
529,14.929676,29.544186,0.6804079
530,14.886295,29.784039,0.6996691
531,14.84062,30.035057,0.6920904
532,14.792654,30.297007,0.6891936
533,14.741986,30.5719,1.5897334
534,14.688093,30.862328,1.6921967
535,14.630779,31.168995,1.6135544
536,14.569752,31.493095,3.8518965
537,14.504342,31.83774,2.7813525
538,14.4340725,32.204945,4.90824
539,14.358276,32.59757,4.8888416
540,17.303587,11.702684,1.6871899
541,17.263893,12.12299,0.61184466
542,17.226109,12.514442,1.6613781
543,17.190075,12.880423,1.6532928
544,17.155642,13.223791,1.6503721
545,17.122662,13.547166,1.6430378
546,17.091024,13.852555,1.6328007
547,17.060612,14.141858,1.620233
548,17.031303,14.416859,1.6261727
549,17.00304,14.678675,1.614958
550,16.975727,14.928655,1.6239733
551,16.949306,15.1677,0.5971074
552,16.923712,15.396774,1.6319335
553,16.898888,15.616687,1.6307235
554,16.874756,15.828397,1.6217887
555,16.851292,16.032303,1.6534537
556,16.828457,16.229012,1.6282797
557,16.80621,16.418995,1.6263247
558,16.784527,16.602678,0.55686533
559,16.763363,16.780542,0.53162277
560,16.742687,16.95298,0.49915016
561,16.722475,17.120333,1.9420713
562,16.702713,17.28283,1.9230306
563,16.683352,17.440956,1.8646151
564,16.664373,17.59493,0.5289763
565,16.645758,17.74501,0.55773556
566,16.627491,17.891365,1.6729176
567,16.609528,18.034445,1.6636491
568,16.5919,18.174038,1.6221851
569,16.57456,18.310566,1.6137004
570,16.557499,18.444185,1.6152412
571,16.540703,18.575026,1.608026
572,16.524153,18.703257,1.6073197
573,16.507833,18.829084,1.74945
574,16.49174,18.952572,1.8060327
575,16.475843,19.073942,1.8102348
576,16.460155,19.19315,1.8750668
577,16.44467,19.310307,1.6782045
